fecha_venta,ciudad,temperatura_maxima,temperatura_minima,lluvia_mm,precio_unitario,total_venta,ventas_predichas
2011-08-25,Columbus,20.0,10.4,8.6,7.992,23.976,220.04094484260017
2011-08-25,Columbus,20.0,10.4,8.6,21.744,130.464,220.04094484260017
2012-03-02,Seattle,-6.6,-12.5,0.0,262.51,787.53,289.2367720033302
2011-12-26,Houston,-0.4,-5.3,0.0,200.186,600.558,287.02024874063375
2013-11-07,Los Angeles,18.2,14.6,18.7,40.712,81.424,269.8147592333567
2013-11-07,Los Angeles,18.2,14.6,18.7,79.52,238.56,269.8147592333567
2014-02-03,Columbus,17.8,10.0,2.2,11.994,59.97,236.40538647314168
2014-02-03,Columbus,17.8,10.0,2.2,39.152,78.304,236.40538647314168
2014-02-03,Columbus,17.8,10.0,2.2,2.384,21.456,236.40538647314168
2013-09-06,Philadelphia,22.3,12.9,0.0,41.4,82.8,216.82589507323095
2014-09-19,San Francisco,28.2,20.2,13.2,2.94,8.82,219.8038749937982
2014-09-19,San Francisco,28.2,20.2,13.2,3.6199999999999997,10.86,219.8038749937982
2014-09-19,San Francisco,28.2,20.2,13.2,47.9,143.7,219.8038749937982
2012-05-28,Seattle,6.0,-0.9,2.9,2.21,6.63,262.0356339530016
2011-03-01,Seattle,-24.1,-31.9,0.0,228.784,457.568,302.51071584196643
2013-05-12,Los Angeles,22.5,13.8,50.6,5.98,5.98,228.26050210115469
2012-12-28,Philadelphia,4.1,-1.9,0.0,27.192,54.384,271.5234484695849
2013-11-08,Seattle,-7.8,-13.1,0.0,13.84,27.68,295.70191822515346
2011-08-05,Los Angeles,24.4,15.1,59.6,6.98,20.94,221.8294298389912
2011-08-05,Los Angeles,24.4,15.1,59.6,55.48,110.96,221.8294298389912
2011-08-05,Los Angeles,24.4,15.1,59.6,48.592,340.144,221.8294298389912
2011-09-14,Chicago,30.3,19.6,0.0,26.224,52.448,194.2625244037964
2011-09-14,Chicago,30.3,19.6,0.0,5.04,20.16,194.2625244037964
2014-04-22,Houston,7.7,-0.0,1.2,24.316,97.264,253.04107877436405
2012-12-15,New York City,7.4,-0.8,0.0,3.28,3.28,249.56071033049824
2011-08-26,Los Angeles,23.8,13.9,38.1,22.1,176.8,215.48533094674212
2012-10-12,New York City,12.8,6.4,0.0,224.784,899.136,254.69689257016103
2012-10-12,New York City,12.8,6.4,0.0,11.96,71.76,254.69689257016103
2012-10-12,New York City,12.8,6.4,0.0,6.48,51.84,254.69689257016103
2012-10-12,New York City,12.8,6.4,0.0,208.784,626.352,254.69689257016103
2012-10-12,New York City,12.8,6.4,0.0,3.9799999999999995,19.9,254.69689257016103
2014-07-07,Philadelphia,31.9,20.4,0.0,1.473,2.946,185.64232944136535
2014-07-07,Philadelphia,31.9,20.4,0.0,5.352,16.056,185.64232944136535
2013-10-29,Los Angeles,21.2,14.0,55.1,15.51,93.06,242.3015161716717
2013-10-29,Los Angeles,21.2,14.0,55.1,100.79199999999999,302.376,242.3015161716717
2013-06-05,Chicago,30.1,20.9,0.0,5.184,25.92,205.98917684810343
2013-06-05,Chicago,30.1,20.9,0.0,83.936,419.68,205.98917684810343
2013-06-05,Chicago,30.1,20.9,0.0,3.8960000000000004,11.688,205.98917684810343
2013-06-05,Chicago,30.1,20.9,0.0,15.992,31.984,205.98917684810343
2013-06-05,Chicago,30.1,20.9,0.0,35.445,177.225,205.98917684810343
2013-06-05,Chicago,30.1,20.9,0.0,1.3479999999999999,4.044,205.98917684810343
2013-06-05,Chicago,30.1,20.9,0.0,3.704,7.408,205.98917684810343
2013-12-11,San Francisco,28.1,18.6,0.1,160.784,321.568,206.8886458961719
2013-09-12,San Diego,26.7,21.3,14.5,7.61,7.61,242.12248824757717
2013-09-12,San Diego,26.7,21.3,14.5,257.49,3347.37,242.12248824757717
2013-12-11,New York City,-0.4,-5.8,0.0,13.43,80.58,283.21698871420404
2013-12-11,New York City,-0.4,-5.8,0.0,90.48,361.92,283.21698871420404
2012-11-28,Chicago,28.2,21.1,8.2,1.3479999999999999,12.132,226.01467235402583
2012-11-28,Chicago,28.2,21.1,8.2,41.184,82.368,226.01467235402583
2012-11-28,Chicago,28.2,21.1,8.2,10.784,53.92,226.01467235402583
2012-11-28,Chicago,28.2,21.1,8.2,107.984,647.904,226.01467235402583
2014-12-02,New York City,7.4,1.7,3.0,6.79,20.37,268.9580528750543
2014-12-02,New York City,7.4,1.7,3.0,73.85000000000001,221.55,268.9580528750543
2014-12-02,New York City,7.4,1.7,3.0,3.504,17.52,268.9580528750543
2011-09-19,Houston,12.1,4.6,0.0,1019.994,3059.982,247.4387737895784
2011-09-19,Houston,12.1,4.6,0.0,359.994,2519.958,247.4387737895784
2013-06-07,Chicago,29.5,21.0,0.0,82.056,328.224,212.2643579801589
2014-12-29,San Francisco,29.7,18.8,0.0,181.46,725.84,193.6918374882783
2012-07-30,San Francisco,31.5,21.4,0.0,29.990000000000002,209.93,196.92520224540445
2012-07-30,San Francisco,31.5,21.4,0.0,1.76,5.28,196.92520224540445
2012-07-30,San Francisco,31.5,21.4,0.0,3.64,10.92,196.92520224540445
2014-10-14,Philadelphia,24.8,16.8,0.0,5.824,11.648,223.51411858451
2014-10-14,Philadelphia,24.8,16.8,0.0,4.544,18.176,223.51411858451
2014-10-14,Philadelphia,24.8,16.8,0.0,9.952,59.712,223.51411858451
2014-10-14,Philadelphia,24.8,16.8,0.0,8.28,24.84,223.51411858451
2012-09-26,Houston,18.2,5.4,0.0,0.41600000000000004,2.08,197.45961037637653
2012-09-26,Houston,18.2,5.4,0.0,159.20000000000002,1114.4,197.45961037637653
2012-11-02,Los Angeles,21.5,14.5,39.0,207.76799999999997,1038.84,241.302584021463
2013-11-21,Columbus,17.7,9.8,0.4,2.728,19.096,235.57454520292023
2013-11-21,Columbus,17.7,9.8,0.4,2.312,18.496,235.57454520292023
2013-11-21,Columbus,17.7,9.8,0.4,127.992,255.984,235.57454520292023
2013-11-21,Columbus,17.7,9.8,0.4,28.99,86.97,235.57454520292023
2014-11-20,Chicago,26.8,21.2,7.2,73.02499999999999,219.075,239.5155448509713
2012-05-04,New York City,25.6,11.0,0.6,13.4,26.8,172.11980525804756
2011-12-28,Philadelphia,7.4,-0.8,0.0,24.784,99.136,249.56071033049824
2011-11-04,New York City,10.6,4.6,0.0,135.882,135.882,261.22509660650206
2011-11-04,New York City,10.6,4.6,0.0,1995.99,3991.98,261.22509660650206
2011-11-04,New York City,10.6,4.6,0.0,45.99,275.94,261.22509660650206
2011-11-04,New York City,10.6,4.6,0.0,90.0,360.0,261.22509660650206
2011-11-04,New York City,10.6,4.6,0.0,43.57,43.57,261.22509660650206
2013-08-31,Philadelphia,30.4,21.7,0.1,96.96600000000001,290.898,209.3298297407532
2013-08-31,Philadelphia,30.4,21.7,0.1,27.112,54.224,209.3298297407532
2013-08-31,Philadelphia,30.4,21.7,0.1,196.686,786.744,209.3298297407532
2013-08-31,Philadelphia,30.4,21.7,0.1,10.024,100.24,209.3298297407532
2013-08-31,Philadelphia,30.4,21.7,0.1,6.2940000000000005,37.764,209.3298297407532
2013-04-26,Philadelphia,17.3,6.7,0.0,41.4,82.8,215.619880135248
2013-04-26,Philadelphia,17.3,6.7,0.0,10.362,20.724,215.619880135248
2013-04-26,Philadelphia,17.3,6.7,0.0,1.632,4.896,215.619880135248
2012-09-01,Los Angeles,23.9,13.9,67.0,4.752,4.752,218.2369513318063
2012-09-01,Los Angeles,23.9,13.9,67.0,479.992,959.984,218.2369513318063
2012-09-01,Los Angeles,23.9,13.9,67.0,3.592,14.368,218.2369513318063
2011-07-12,San Francisco,29.3,20.0,0.6,3.856,7.712,206.5722227853708
2011-07-12,San Francisco,29.3,20.0,0.6,232.784,698.352,206.5722227853708
2011-04-13,Philadelphia,16.4,7.5,5.2,4.464,17.856,230.63736338252937
2011-04-13,Philadelphia,16.4,7.5,5.2,50.997,509.97,230.63736338252937
2011-04-13,Philadelphia,16.4,7.5,5.2,2.384,30.992,230.63736338252937
2011-04-13,Philadelphia,16.4,7.5,5.2,5.994,71.928,230.63736338252937
2014-06-16,San Francisco,30.5,20.1,0.0,15.991999999999999,47.976,196.22760805463636
2013-09-02,New York City,26.4,22.3,4.5,6.79,6.79,251.2161314891296
2013-09-02,New York City,26.4,22.3,4.5,12.28,24.56,251.2161314891296
2013-09-02,New York City,26.4,22.3,4.5,3.048,3.048,251.2161314891296
2013-09-02,New York City,26.4,22.3,4.5,12.28,49.12,251.2161314891296
2013-09-02,New York City,26.4,22.3,4.5,1088.792,4355.168,251.2161314891296
2013-04-09,New York City,25.9,10.2,0.0,64.784,388.704,163.2011161698938
2013-04-09,New York City,25.9,10.2,0.0,4.13,8.26,163.2011161698938
2013-04-09,New York City,25.9,10.2,0.0,4.26,17.04,163.2011161698938
2013-04-09,New York City,25.9,10.2,0.0,6.88,34.4,163.2011161698938
2014-03-09,Columbus,18.1,9.7,14.5,80.98,647.84,232.92843978476992
2014-03-09,Columbus,18.1,9.7,14.5,10.35,20.7,232.92843978476992
2014-09-26,New York City,24.2,13.6,0.1,10.35,20.7,204.70048495587625
2014-09-26,New York City,24.2,13.6,0.1,162.882,488.646,204.70048495587625
2014-09-26,New York City,24.2,13.6,0.1,2.78,5.56,204.70048495587625
2014-09-26,New York City,24.2,13.6,0.1,5.89,47.12,204.70048495587625
2011-09-24,San Francisco,27.7,19.8,16.6,52.99,211.96,221.78855597902415
2012-04-28,Houston,6.2,0.8,2.5,2.884,8.652,273.0777360122852
2012-04-28,Houston,6.2,0.8,2.5,7.944,23.832,273.0777360122852
2012-04-28,Houston,6.2,0.8,2.5,3.044,12.176,273.0777360122852
2013-10-29,San Francisco,27.3,19.9,27.1,7.28,50.96,227.559209178916
2013-10-29,San Francisco,27.3,19.9,27.1,16.512,49.536,227.559209178916
2012-12-03,Philadelphia,18.0,8.1,0.0,120.585,482.34,219.8353908946868
2012-12-03,Philadelphia,18.0,8.1,0.0,2.96,2.96,219.8353908946868
2014-12-12,New York City,2.5,-3.2,0.0,5.84,23.36,276.3403834055862
2014-12-12,New York City,2.5,-3.2,0.0,19.99,39.98,276.3403834055862
2013-09-09,Houston,19.5,8.6,0.0,11.984,35.952,209.85232810419288
2013-09-09,Houston,19.5,8.6,0.0,599.0664,2396.2656,209.85232810419288
2013-09-09,Houston,19.5,8.6,0.0,32.784,131.136,209.85232810419288
2013-09-09,Houston,19.5,8.6,0.0,28.792,57.584,209.85232810419288
2014-12-25,New York City,15.2,4.2,4.4,11.969999999999999,35.91,216.46329415165684
2014-12-09,San Francisco,24.6,18.9,4.8,35.989999999999995,179.95,241.93565493095664
2014-12-09,San Francisco,24.6,18.9,4.8,399.992,1199.976,241.93565493095664
2014-12-09,San Francisco,24.6,18.9,4.8,5.43,27.15,241.93565493095664
2014-12-09,San Francisco,24.6,18.9,4.8,143.432,1004.024,241.93565493095664
2014-12-09,San Francisco,24.6,18.9,4.8,9.68,9.68,241.93565493095664
2014-12-09,San Francisco,24.6,18.9,4.8,3.1500000000000004,28.35,241.93565493095664
2014-12-09,San Francisco,24.6,18.9,4.8,55.98,55.98,241.93565493095664
2014-12-09,San Francisco,24.6,18.9,4.8,102.833,1336.829,241.93565493095664
2014-12-09,San Francisco,24.6,18.9,4.8,56.784,113.568,241.93565493095664
2014-11-04,Seattle,-3.0,-4.8,0.0,19.98,139.86,314.71980164973104
2014-11-04,Seattle,-3.0,-4.8,0.0,76.784,307.136,314.71980164973104
2013-04-15,Los Angeles,20.5,14.9,76.4,76.76,383.8,258.2864026619028
2014-03-05,Los Angeles,19.7,15.0,51.6,2.33,9.32,263.2498095603126
2014-03-05,Los Angeles,19.7,15.0,51.6,15.25,15.25,263.2498095603126
2013-06-13,Chicago,30.9,22.0,0.0,335.993,1007.979,207.0036434038896
2013-06-13,Chicago,30.9,22.0,0.0,44.784,313.488,207.0036434038896
2014-09-16,Houston,23.1,9.6,0.0,3.984,31.872,184.3716733964356
2014-01-21,New York City,-2.1,-10.3,0.0,69.282,207.846,264.61214766885
2014-03-21,Columbus,18.6,11.4,7.4,2.91,2.91,240.3622825596253
2012-12-15,Seattle,-8.5,-13.2,0.0,25.98,103.92,301.3748835344319
2012-12-15,Seattle,-8.5,-13.2,0.0,99.99,899.91,301.3748835344319
2012-12-15,Seattle,-8.5,-13.2,0.0,17.104,51.312,301.3748835344319
2013-12-17,Chicago,31.2,21.1,2.7,1.596,4.788,197.74344896409815
2011-11-09,San Francisco,25.9,19.6,12.6,113.64,340.92,236.302782798884
2011-11-09,San Francisco,25.9,19.6,12.6,111.333,222.666,236.302782798884
2011-11-09,San Francisco,25.9,19.6,12.6,175.992,703.968,236.302782798884
2011-11-09,San Francisco,25.9,19.6,12.6,15.42,92.52,236.302782798884
2011-11-09,San Francisco,25.9,19.6,12.6,8.95,62.65,236.302782798884
2011-11-09,San Francisco,25.9,19.6,12.6,18.97,94.85,236.302782798884
2013-07-13,Los Angeles,23.7,14.2,59.0,15.96,95.76,221.3409706235006
2013-06-27,New York City,28.6,21.9,15.0,2.94,14.7,229.28723177992407
2013-06-27,New York City,28.6,21.9,15.0,140.85,704.25,229.28723177992407
2011-10-06,San Diego,27.2,22.1,13.9,3.03,9.09,243.53605486840863
2011-07-22,New York City,38.6,27.2,0.0,2.98,5.96,175.7877572185506
2011-07-22,New York City,38.6,27.2,0.0,79.99,159.98,175.7877572185506
2014-06-11,Los Angeles,26.1,14.9,51.7,14.8,29.6,203.6802149498994
2014-06-11,Los Angeles,26.1,14.9,51.7,102.833,514.165,203.6802149498994
2014-06-11,Los Angeles,26.1,14.9,51.7,55.992,279.96,203.6802149498994
2011-10-29,Chicago,26.3,22.6,3.2,455.992,2735.952,254.2520573140724
2013-05-10,Seattle,7.6,-2.0,0.0,46.99,93.98,238.59470989147712
2014-11-13,New York City,8.0,2.6,3.2,3.184,15.92,270.3147946233522
2014-12-22,Los Angeles,23.1,14.6,28.1,2.21,6.63,225.9733709236164
2014-12-22,Los Angeles,23.1,14.6,28.1,2.94,5.88,225.9733709236164
2012-03-22,Houston,0.8,-4.7,0.0,18.392,18.392,280.5551025188105
2012-03-22,Houston,0.8,-4.7,0.0,64.784,129.568,280.5551025188105
2012-03-22,Houston,0.8,-4.7,0.0,1.568,14.112,280.5551025188105
2013-05-22,Los Angeles,19.6,15.6,31.5,18.392,55.176,266.1798256166928
2013-05-22,Los Angeles,19.6,15.6,31.5,33.13,66.26,266.1798256166928
2012-09-03,Philadelphia,25.5,22.0,6.2,12.112,36.336,257.4218931971235
2012-09-03,Philadelphia,25.5,22.0,6.2,666.248,666.248,257.4218931971235
2012-09-03,Philadelphia,25.5,22.0,6.2,8.752,52.512,257.4218931971235
2012-11-07,Los Angeles,22.0,13.2,70.7,190.72,190.72,230.8450151715439
2014-09-08,Los Angeles,23.4,14.5,54.5,15.979999999999999,47.94,225.80862758413187
2014-09-04,Chicago,34.1,24.0,0.0,6.088,42.616,192.80586150017132
2012-12-03,New York City,15.9,6.4,0.2,2.688,10.752,226.2305615760127
2012-12-18,Springfield,17.5,10.5,32.5,71.86399999999999,646.776,246.814439428272
2014-11-20,New York City,6.8,-0.9,0.0,6.88,41.28,254.31458745198177
2014-11-20,New York City,6.8,-0.9,0.0,6.68,13.36,254.31458745198177
2012-11-15,Chicago,26.9,21.9,9.0,27.808,250.272,244.14964614762252
2012-11-15,Chicago,26.9,21.9,9.0,3.7880000000000003,11.364,244.14964614762252
2012-11-15,Chicago,26.9,21.9,9.0,1.7440000000000002,8.72,244.14964614762252
2013-04-16,San Francisco,31.4,21.5,0.6,560.784,1121.568,198.68115092096684
2014-11-25,Houston,1.3,-3.1,0.0,3.608,10.824,288.130093664411
2013-06-11,Los Angeles,20.8,13.5,35.3,10.35,20.7,239.659728974532
2013-06-11,Los Angeles,20.8,13.5,35.3,333.92,1335.68,239.659728974532
2013-06-11,Los Angeles,20.8,13.5,35.3,6.4799999999999995,32.4,239.659728974532
2014-11-21,San Francisco,25.3,18.1,10.1,14.200000000000001,42.6,230.08999650269132
2014-11-21,San Francisco,25.3,18.1,10.1,12.008,84.056,230.08999650269132
2012-12-07,Seattle,-20.1,-22.7,0.0,1.98,3.96,335.7271728164768
2012-12-07,Seattle,-20.1,-22.7,0.0,2.61,2.61,335.7271728164768
2014-12-08,Los Angeles,21.1,14.6,10.0,124.79199999999999,374.376,242.05617879132257
2014-10-02,Seattle,-0.6,-4.8,0.0,11.48,91.84,292.66168514265325
2014-10-02,Seattle,-0.6,-4.8,0.0,11.584,81.088,292.66168514265325
2014-10-02,Seattle,-0.6,-4.8,0.0,6.48,19.44,292.66168514265325
2014-10-02,Seattle,-0.6,-4.8,0.0,150.384,451.152,292.66168514265325
2014-12-29,New York City,5.6,-1.1,0.0,10.35,72.45,263.8223416949488
2014-12-29,New York City,5.6,-1.1,0.0,3.49,13.96,263.8223416949488
2014-12-29,New York City,5.6,-1.1,0.0,4.752000000000001,33.264,263.8223416949488
2014-12-29,New York City,5.6,-1.1,0.0,4.95,14.85,263.8223416949488
2014-07-21,Chicago,31.7,22.4,0.0,34.856,69.712,202.6935459226741
2014-07-21,Chicago,31.7,22.4,0.0,8.792,8.792,202.6935459226741
2012-09-10,Los Angeles,27.4,13.2,50.2,12.88,51.52,178.61046321250083
2011-08-08,San Diego,29.0,23.6,0.0,38.06,76.12,236.636751056568
2011-08-08,San Diego,29.0,23.6,0.0,399.992,1199.976,236.636751056568
2011-08-08,San Diego,29.0,23.6,0.0,89.192,445.96,236.636751056568
2011-08-08,San Diego,29.0,23.6,0.0,40.97,327.76,236.636751056568
2013-07-15,Philadelphia,33.8,23.0,0.0,5.816,11.632,187.95660601069667
2013-07-17,Philadelphia,33.9,22.7,0.0,47.994,143.982,184.75556180704396
2013-07-17,Philadelphia,33.9,22.7,0.0,123.594,494.376,184.75556180704396
2013-07-17,Philadelphia,33.9,22.7,0.0,2.92,5.84,184.75556180704396
2011-05-23,Philadelphia,25.3,14.7,6.7,1.641,3.282,203.79598025557408
2011-05-23,Philadelphia,25.3,14.7,6.7,2.352,21.168,203.79598025557408
2011-05-23,Philadelphia,25.3,14.7,6.7,27.594,55.188,203.79598025557408
2013-09-12,Philadelphia,31.5,22.6,9.2,4.224,8.448,207.22155637355215
2013-09-12,Philadelphia,31.5,22.6,9.2,80.994,728.946,207.22155637355215
2014-08-19,New York City,26.7,16.5,0.0,20.24,40.48,203.7694870005489
2014-08-19,New York City,26.7,16.5,0.0,4.97,9.94,203.7694870005489
2014-08-19,New York City,26.7,16.5,0.0,11.936,107.424,203.7694870005489
2014-08-19,New York City,26.7,16.5,0.0,37.91,37.91,203.7694870005489
2014-08-19,New York City,26.7,16.5,0.0,29.34,88.02,203.7694870005489
2011-12-26,Chicago,28.7,17.1,0.0,1.738,8.69,189.9516352763664
2014-09-16,New York City,20.5,14.1,0.0,5.08,35.56,242.4973065169706
2014-05-20,Seattle,4.8,-0.7,1.6,48.58,97.16,274.4208778384025
2014-12-18,San Francisco,26.8,19.9,3.3,3.048,15.24,229.1317136461243
2014-12-18,San Francisco,26.8,19.9,3.3,4.41,13.23,229.1317136461243
2014-12-31,Columbus,20.0,9.8,0.1,104.65,209.3,214.39741264239652
2013-10-24,New York City,11.4,4.6,0.2,37.94,379.4,253.8977939316366
2014-06-20,New York City,25.3,16.6,0.0,48.91,97.82,217.3973736349636
2014-06-20,New York City,25.3,16.6,0.0,12.89,103.12,217.3973736349636
2013-08-23,Columbus,20.8,9.9,2.8,56.776,113.552,208.14829731649
2013-08-23,Columbus,20.8,9.9,2.8,1.659,3.318,208.14829731649
2013-08-23,Columbus,20.8,9.9,2.8,67.144,134.288,208.14829731649
2013-03-27,New York City,10.6,-0.3,0.2,91.99,459.95,223.97855117498472
2014-06-10,Chicago,32.6,22.2,0.0,7.992,23.976,192.900448221948
2014-06-10,Chicago,32.6,22.2,0.0,108.925,108.925,192.900448221948
2014-06-10,Chicago,32.6,22.2,0.0,4.544,36.352,192.900448221948
2014-12-06,Columbus,16.7,11.2,10.4,20.48,61.44,256.68469652956423
2014-12-06,Columbus,16.7,11.2,10.4,7.779999999999999,38.9,256.68469652956423
2014-12-06,Columbus,16.7,11.2,10.4,33.13,99.39,256.68469652956423
2013-11-20,New York City,6.2,-0.7,0.0,4.784,14.352,261.3504205893231
2013-11-20,New York City,6.2,-0.7,0.0,32.48,64.96,261.3504205893231
2013-11-20,New York City,6.2,-0.7,0.0,17.15,68.6,261.3504205893231
2014-12-26,New York City,8.7,1.4,0.0,95.992,191.984,254.3469080054552
2012-03-28,Los Angeles,22.8,14.1,30.8,166.24,166.24,225.2703136317382
2012-03-28,Los Angeles,22.8,14.1,30.8,6.68,33.4,225.2703136317382
2013-11-05,Seattle,-2.5,-9.1,0.0,69.96,209.88,277.416324483461
2011-12-02,New York City,10.4,2.5,0.0,29.99,119.96,247.0895808710871
2011-12-02,New York City,10.4,2.5,0.0,176.784,883.92,247.0895808710871
2011-12-02,New York City,10.4,2.5,0.0,5.84,46.72,247.0895808710871
2011-04-05,New York City,17.0,4.2,20.1,55.48,55.48,201.9138287296145
2011-07-01,Seattle,10.7,0.7,2.3,3.9840000000000004,19.92,230.9327127287345
2013-02-13,Los Angeles,20.9,13.9,39.7,48.94,146.82,242.3421110127452
2011-10-07,Philadelphia,19.3,7.7,0.0,25.983999999999998,129.92,204.84463643220923
2014-01-22,Seattle,-1.7,-7.7,0.0,80.98,242.94,280.7127470551049
2014-01-22,Seattle,-1.7,-7.7,0.0,59.99,179.97,280.7127470551049
2014-01-22,Seattle,-1.7,-7.7,0.0,16.616,99.696,280.7127470551049
2014-01-22,Seattle,-1.7,-7.7,0.0,6.984,27.936,280.7127470551049
2014-01-22,Seattle,-1.7,-7.7,0.0,84.98,84.98,280.7127470551049
2014-01-22,Seattle,-1.7,-7.7,0.0,3.7439999999999998,18.72,280.7127470551049
2011-09-08,San Francisco,27.2,19.5,23.0,24.99,49.98,224.9149313819436
2011-05-27,San Diego,27.6,23.9,9.5,56.712,567.12,252.9925760075116
2011-05-27,San Diego,27.6,23.9,9.5,89.83,359.32,252.9925760075116
2013-04-08,San Francisco,29.1,20.5,0.7,399.992,1199.976,212.2263606011372
2012-12-07,Los Angeles,22.2,12.7,16.0,19.98,79.92,218.25590544996072
2014-07-24,New York City,26.7,20.8,1.0,4.376,13.128,236.6045373653136
2012-08-31,Los Angeles,23.8,13.6,93.7,6.48,58.32,220.26536097417025
2012-02-08,Columbus,18.0,10.4,12.1,35.994,107.982,238.8672580796405
2012-08-21,San Francisco,31.1,20.8,0.0,181.336,544.008,196.0376429648684
2012-08-21,San Francisco,31.1,20.8,0.0,19.98,59.94,196.0376429648684
2012-08-21,San Francisco,31.1,20.8,0.0,5.98,23.92,196.0376429648684
2012-08-21,San Francisco,31.1,20.8,0.0,4.28,4.28,196.0376429648684
2012-10-03,Columbus,20.8,9.0,9.0,6.414,32.07,202.08991692122535
2012-10-03,Columbus,20.8,9.0,9.0,12.0,24.0,202.08991692122535
